N            Кол-во итераций      Уровень шума (%)
1            106,0000             5,0000
2            106,0000             7,0000
3            106,0000             9,0000
4            106,0000             11,0000
5            106,0000             13,0000
6            105,0000             15,0000
7            105,0000             17,0000
8            105,0000             19,0000
9            104,0000             21,0000
10           104,0000             23,0000
11           104,0000             25,0000
12           103,0000             27,0000
13           103,0000             29,0000
14           103,0000             31,0000
15           103,0000             33,0000
16           105,0000             35,0000
17           108,0000             37,0000
18           113,0000             39,0000
19           117,0000             41,0000
20           120,0000             43,0000
21           120,0000             45,0000
